model_index,random_state,max_depth,criterion,min_samples_leaf,accuracy,precision_class_1,precision_class_2,precision_class_3,precision_class_4,average precision,recall_class_1,recall_class_2,recall_class_3,recall_class_4,average recall,f_measure_class_1,f_measure_class_2,f_measure_class_3,f_measure_class_4,average f_measure
1,2,4,gini,1,0.7875,0.7931034482758621,0.8222222222222222,0.6808510638297872,0.0,0.5740441835819678,0.7419354838709677,0.8102189781021898,0.8,0.0,0.5880386154932894,0.7666666666666667,0.8161764705882353,0.7356321839080461,0,0.579618830290737
2,2,4,gini,2,0.7875,0.7931034482758621,0.8222222222222222,0.6808510638297872,0.0,0.5740441835819678,0.7419354838709677,0.8102189781021898,0.8,0.0,0.5880386154932894,0.7666666666666667,0.8161764705882353,0.7356321839080461,0,0.579618830290737
3,2,4,gini,3,0.7875,0.7931034482758621,0.8222222222222222,0.6808510638297872,0.0,0.5740441835819678,0.7419354838709677,0.8102189781021898,0.8,0.0,0.5880386154932894,0.7666666666666667,0.8161764705882353,0.7356321839080461,0,0.579618830290737
4,2,4,gini,4,0.7875,0.7931034482758621,0.8222222222222222,0.6808510638297872,0.0,0.5740441835819678,0.7419354838709677,0.8102189781021898,0.8,0.0,0.5880386154932894,0.7666666666666667,0.8161764705882353,0.7356321839080461,0,0.579618830290737
5,2,4,gini,5,0.7875,0.7931034482758621,0.8222222222222222,0.6808510638297872,0.0,0.5740441835819678,0.7419354838709677,0.8102189781021898,0.8,0.0,0.5880386154932894,0.7666666666666667,0.8161764705882353,0.7356321839080461,0,0.579618830290737
6,2,4,gini,6,0.7875,0.7931034482758621,0.8222222222222222,0.6808510638297872,0.0,0.5740441835819678,0.7419354838709677,0.8102189781021898,0.8,0.0,0.5880386154932894,0.7666666666666667,0.8161764705882353,0.7356321839080461,0,0.579618830290737
7,2,4,gini,7,0.7958333333333333,0.8214285714285714,0.8248175182481752,0.6808510638297872,0.0,0.5817742883766335,0.7419354838709677,0.8248175182481752,0.8,0.0,0.5916882505297858,0.7796610169491526,0.8248175182481752,0.7356321839080461,0,0.5850276797763434
8,2,4,gini,8,0.7958333333333333,0.8214285714285714,0.8248175182481752,0.6808510638297872,0.0,0.5817742883766335,0.7419354838709677,0.8248175182481752,0.8,0.0,0.5916882505297858,0.7796610169491526,0.8248175182481752,0.7356321839080461,0,0.5850276797763434
9,2,4,gini,9,0.7958333333333333,0.8214285714285714,0.8248175182481752,0.6808510638297872,0.0,0.5817742883766335,0.7419354838709677,0.8248175182481752,0.8,0.0,0.5916882505297858,0.7796610169491526,0.8248175182481752,0.7356321839080461,0,0.5850276797763434
10,2,4,gini,10,0.7958333333333333,0.8214285714285714,0.8248175182481752,0.6808510638297872,0.0,0.5817742883766335,0.7419354838709677,0.8248175182481752,0.8,0.0,0.5916882505297858,0.7796610169491526,0.8248175182481752,0.7356321839080461,0,0.5850276797763434
11,2,4,gini,11,0.7958333333333333,0.8214285714285714,0.8248175182481752,0.6808510638297872,0.0,0.5817742883766335,0.7419354838709677,0.8248175182481752,0.8,0.0,0.5916882505297858,0.7796610169491526,0.8248175182481752,0.7356321839080461,0,0.5850276797763434
12,2,4,gini,12,0.7958333333333333,0.8214285714285714,0.8248175182481752,0.6808510638297872,0.0,0.5817742883766335,0.7419354838709677,0.8248175182481752,0.8,0.0,0.5916882505297858,0.7796610169491526,0.8248175182481752,0.7356321839080461,0,0.5850276797763434
13,2,4,gini,13,0.7958333333333333,0.8214285714285714,0.8248175182481752,0.6808510638297872,0.0,0.5817742883766335,0.7419354838709677,0.8248175182481752,0.8,0.0,0.5916882505297858,0.7796610169491526,0.8248175182481752,0.7356321839080461,0,0.5850276797763434
14,2,4,gini,14,0.7958333333333333,0.8214285714285714,0.8248175182481752,0.6808510638297872,0.0,0.5817742883766335,0.7419354838709677,0.8248175182481752,0.8,0.0,0.5916882505297858,0.7796610169491526,0.8248175182481752,0.7356321839080461,0,0.5850276797763434
15,2,4,gini,15,0.7958333333333333,0.8214285714285714,0.8248175182481752,0.6808510638297872,0.0,0.5817742883766335,0.7419354838709677,0.8248175182481752,0.8,0.0,0.5916882505297858,0.7796610169491526,0.8248175182481752,0.7356321839080461,0,0.5850276797763434
16,2,4,gini,16,0.7958333333333333,0.8214285714285714,0.8248175182481752,0.6808510638297872,0.0,0.5817742883766335,0.7419354838709677,0.8248175182481752,0.8,0.0,0.5916882505297858,0.7796610169491526,0.8248175182481752,0.7356321839080461,0,0.5850276797763434
17,2,4,gini,17,0.7833333333333333,0.851063829787234,0.7945205479452054,0.6808510638297872,0.0,0.5816088603905567,0.6451612903225806,0.8467153284671532,0.8,0.0,0.5729691546974335,0.7339449541284404,0.8197879858657243,0.7356321839080461,0,0.5723412809755527
18,2,4,gini,18,0.7833333333333333,0.851063829787234,0.7945205479452054,0.6808510638297872,0.0,0.5816088603905567,0.6451612903225806,0.8467153284671532,0.8,0.0,0.5729691546974335,0.7339449541284404,0.8197879858657243,0.7356321839080461,0,0.5723412809755527
19,2,4,gini,19,0.7791666666666667,0.8478260869565217,0.7891156462585034,0.6808510638297872,0.0,0.5794481992612031,0.6290322580645161,0.8467153284671532,0.8,0.0,0.5689368966329174,0.7222222222222221,0.8169014084507042,0.7356321839080461,0,0.5686889536452431
20,2,4,entropy,1,0.7541666666666667,0.8166666666666667,0.7581699346405228,0.5925925925925926,0.0,0.5418572984749455,0.7903225806451613,0.8467153284671532,0.4,0.0,0.5092594772780786,0.8032786885245902,0.8,0.4776119402985075,0,0.5202226572057744
