model_index,random_state,max_depth,criterion,min_samples_leaf,accuracy,precision_class_1,precision_class_2,precision_class_3,precision_class_4,average precision,recall_class_1,recall_class_2,recall_class_3,recall_class_4,average recall,f_measure_class_1,f_measure_class_2,f_measure_class_3,f_measure_class_4,average f_measure
3557,21,6,entropy,4,0.8458333333333333,0.9545454545454546,0.8923076923076924,0.6818181818181818,0.0,0.8556905594405594,0.8571428571428571,0.8405797101449275,0.8653846153846154,0.0,0.8458333333333333,0.9032258064516128,0.8656716417910447,0.7627118644067796,0,0.8474240334685239
3558,21,6,entropy,5,0.8458333333333333,0.9545454545454546,0.8923076923076924,0.6818181818181818,0.0,0.8556905594405594,0.8571428571428571,0.8405797101449275,0.8653846153846154,0.0,0.8458333333333333,0.9032258064516128,0.8656716417910447,0.7627118644067796,0,0.8474240334685239
3559,21,6,entropy,6,0.8416666666666667,0.9333333333333333,0.8914728682170543,0.6818181818181818,0.0,0.8508797275076344,0.8571428571428571,0.8333333333333334,0.8653846153846154,0.0,0.8416666666666667,0.8936170212765957,0.8614232209737829,0.7627118644067796,0,0.843019397858699
3560,21,6,entropy,7,0.8375,0.9534883720930233,0.8571428571428571,0.7017543859649122,0.0,0.8395744691185328,0.8367346938775511,0.8695652173913043,0.7692307692307693,0.0,0.8375,0.8913043478260869,0.8633093525179856,0.7339449541284404,0,0.83739892210683
3561,21,6,entropy,8,0.8208333333333333,0.9534883720930233,0.8333333333333334,0.6792452830188679,0.0,0.8210070206230803,0.8367346938775511,0.8695652173913043,0.6923076923076923,0.0,0.8208333333333333,0.8913043478260869,0.851063829787234,0.6857142857142857,0,0.8199077683802476
3562,21,6,entropy,9,0.8083333333333333,0.9333333333333333,0.8444444444444444,0.6333333333333333,0.0,0.8133333333333332,0.8571428571428571,0.8260869565217391,0.7307692307692307,0.0,0.8083333333333333,0.8936170212765957,0.8351648351648352,0.6785714285714285,0,0.809690398254228
3563,21,6,entropy,10,0.8083333333333333,0.9333333333333333,0.8444444444444444,0.6333333333333333,0.0,0.8133333333333332,0.8571428571428571,0.8260869565217391,0.7307692307692307,0.0,0.8083333333333333,0.8936170212765957,0.8351648351648352,0.6785714285714285,0,0.809690398254228
3564,21,6,entropy,11,0.8083333333333333,0.9148936170212766,0.849624060150376,0.6333333333333333,0.0,0.8125468369505324,0.8775510204081632,0.8188405797101449,0.7307692307692307,0.0,0.8083333333333333,0.8958333333333333,0.8339483394833949,0.6785714285714285,0,0.809443410282317
3565,21,6,entropy,12,0.8083333333333333,0.9148936170212766,0.849624060150376,0.6333333333333333,0.0,0.8125468369505324,0.8775510204081632,0.8188405797101449,0.7307692307692307,0.0,0.8083333333333333,0.8958333333333333,0.8339483394833949,0.6785714285714285,0,0.809443410282317
3566,21,6,entropy,13,0.8041666666666667,0.9148936170212766,0.8432835820895522,0.6271186440677966,0.0,0.8075545460580258,0.8775510204081632,0.8188405797101449,0.7115384615384616,0.0,0.8041666666666667,0.8958333333333333,0.8308823529411764,0.6666666666666666,0,0.8051011029411764
3567,21,6,entropy,14,0.7916666666666666,0.9512195121951219,0.8156028368794326,0.6206896551724138,0.0,0.7976617068995341,0.7959183673469388,0.8333333333333334,0.6923076923076923,0.0,0.7916666666666666,0.8666666666666666,0.8243727598566308,0.6545454545454545,0,0.792776963180189
3568,21,6,entropy,15,0.7583333333333333,0.8125,0.8,0.6140350877192983,0.0,0.7589263523391813,0.7959183673469388,0.782608695652174,0.6730769230769231,0.0,0.7583333333333333,0.8041237113402061,0.7912087912087912,0.6422018348623854,0,0.7582640435638638
3569,21,6,entropy,16,0.7375,0.8095238095238095,0.8,0.5555555555555556,0.0,0.7456481481481482,0.6938775510204082,0.782608695652174,0.6730769230769231,0.0,0.7375,0.7472527472527472,0.7912087912087912,0.6086956521739131,0,0.7393932154801719
3570,21,6,entropy,17,0.7333333333333333,0.8095238095238095,0.7941176470588235,0.5483870967741935,0.0,0.7407126291376765,0.6938775510204082,0.782608695652174,0.6538461538461539,0.0,0.7333333333333333,0.7472527472527472,0.7883211678832117,0.5964912280701755,0,0.7350885401788205
3571,21,6,entropy,18,0.7291666666666666,0.8095238095238095,0.7883211678832117,0.5409836065573771,0.0,0.7357755640647229,0.6938775510204082,0.782608695652174,0.6346153846153846,0.0,0.7291666666666666,0.7472527472527472,0.7854545454545455,0.5840707964601771,0,0.7307491387668379
3572,21,6,entropy,19,0.75,0.8095238095238095,0.8333333333333334,0.5694444444444444,0.0,0.767824074074074,0.6938775510204082,0.7608695652173914,0.7884615384615384,0.0,0.75,0.7472527472527472,0.7954545454545455,0.661290322580645,0,0.7532300360929393
3573,21,6,log_loss,1,0.8541666666666666,0.92,0.9193548387096774,0.6818181818181818,0.0,0.8641896383186705,0.9387755102040817,0.8260869565217391,0.8653846153846154,0.0,0.8541666666666666,0.9292929292929293,0.8702290076335878,0.7627118644067796,0,0.8553665564080882
3574,21,6,log_loss,2,0.8541666666666666,0.92,0.9193548387096774,0.6818181818181818,0.0,0.8641896383186705,0.9387755102040817,0.8260869565217391,0.8653846153846154,0.0,0.8541666666666666,0.9292929292929293,0.8702290076335878,0.7627118644067796,0,0.8553665564080882
3575,21,6,log_loss,3,0.8375,0.9130434782608695,0.890625,0.6818181818181818,0.0,0.8462496912055336,0.8571428571428571,0.8260869565217391,0.8653846153846154,0.0,0.8375,0.8842105263157894,0.8571428571428571,0.7627118644067796,0,0.838637695934752
3576,21,6,log_loss,4,0.8458333333333333,0.9545454545454546,0.8923076923076924,0.6818181818181818,0.0,0.8556905594405594,0.8571428571428571,0.8405797101449275,0.8653846153846154,0.0,0.8458333333333333,0.9032258064516128,0.8656716417910447,0.7627118644067796,0,0.8474240334685239
3577,21,6,log_loss,5,0.8458333333333333,0.9545454545454546,0.8923076923076924,0.6818181818181818,0.0,0.8556905594405594,0.8571428571428571,0.8405797101449275,0.8653846153846154,0.0,0.8458333333333333,0.9032258064516128,0.8656716417910447,0.7627118644067796,0,0.8474240334685239
3578,21,6,log_loss,6,0.8416666666666667,0.9333333333333333,0.8914728682170543,0.6818181818181818,0.0,0.8508797275076344,0.8571428571428571,0.8333333333333334,0.8653846153846154,0.0,0.8416666666666667,0.8936170212765957,0.8614232209737829,0.7627118644067796,0,0.843019397858699
